From 1980 to 2003;sigma_GDP;;sigma_deltaGDP;;rho_GDP_GDP-1;;rho_deltaGDP_deltaGDP-1;;sigma_C/sigma_GDP;;sigma_I/sigma_GDP;;sigma_NXGDP;;rho_C_GDP;;rho_I_GDP;;rho_NY/Y_GDP;
EMAs;2.38;0.55;1.77;0.45;0.72;0.06;-0.02;0.89;1.28;0.25;4.07;0.23;3.39;0.16;0.74;0.00;0.78;0.37;-0.43;1.39
DEVs;1.54;;1.22;;0.68;;-0.18;;1.02;;3.30;;2.91;;0.74;;0.57;;-0.18;
From 2003 to 2022;;;;;;;;;;;;;;;;;;;;
EMAs;2.42;0.19;2.14;0.04;0.62;0.33;-0.15;0.42;1.18;0.09;2.48;0.01;3.19;0.12;0.79;0.10;0.71;0.10;-0.16;0.86
DEVs;2.04;2.91;2.07;12.62;0.46;0.18;-0.26;2.10;1.30;2.80;2.50;25.74;3.60;1.42;0.88;0.00;0.65;3.54;-0.09;1.61
From 1980 to 2022;;;;;;;;;;;;;;;;;;;;
EMAs;2.52;0.37;2.01;0.17;0.68;0.23;-0.11;0.57;1.19;0.03;3.19;0.15;4.57;0.12;0.78;0.05;0.77;0.30;-0.24;1.94
DEVs;1.83;1.47;1.71;2.62;0.56;0.26;-0.26;1.56;1.16;8.58;2.78;1.59;4.08;1.35;0.82;0.00;0.59;1.23;-0.08;0.72
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
WHOLE SAMPLE;sigma_GDP;;sigma_deltaGDP;;rho_GDP_GDP-1;;rho_deltaGDP_deltaGDP-1;;sigma_C/sigma_GDP;;sigma_I/sigma_GDP;;sigma_NXGDP;;rho_C_GDP;;rho_I_GDP;;rho_NY/Y_GDP;
MEX;2.63;;2.21;;0.64;;-0.12;;1.15;;3.31;;3.48;;0.94;;0.86;;-0.28;
KOR;1.88;;1.37;;0.73;;0.04;;1.43;;2.50;;5.33;;0.83;;0.76;;-0.20;
TUR;3.32;;2.56;;0.70;;-0.14;;1.23;;3.09;;2.86;;0.78;;0.85;;-0.37;
SVK;2.23;;1.89;;0.64;;-0.22;;0.96;;3.87;;6.62;;0.56;;0.60;;-0.10;
CAN;1.73;;1.33;;0.71;;-0.08;;0.98;;2.31;;3.69;;0.86;;0.71;;-0.05;
NOR;1.45;;1.32;;0.58;;-0.32;;1.45;;3.84;;5.98;;0.72;;0.26;;-0.06;
ESP;2.32;;2.09;;0.59;;-0.26;;1.12;;1.92;;3.36;;0.96;;0.74;;-0.12;
NZL;1.84;;2.12;;0.34;;-0.36;;1.09;;3.06;;3.28;;0.73;;0.64;;-0.09;
2003 TO 2022;;;;;;;;;;;;;;;;;;;;
MEX;2.79;;2.85;;0.48;;-0.24;;1.24;;2.00;;1.70;;0.97;;0.93;;-0.23;
KOR;1.13;;0.90;;0.69;;0.08;;1.49;;2.21;;2.53;;0.72;;0.42;;-0.16;
TUR;3.38;;2.72;;0.68;;-0.26;;1.22;;2.68;;3.46;;0.85;;0.90;;-0.20;
SVK;2.38;;2.09;;0.62;;-0.19;;0.77;;3.03;;5.06;;0.61;;0.62;;-0.07;
CAN;1.88;;1.79;;0.55;;-0.18;;1.12;;2.13;;3.00;;0.88;;0.72;;-0.08;
NOR;1.38;;1.30;;0.55;;-0.18;;1.69;;3.42;;4.54;;0.79;;0.40;;-0.09;
ESP;3.20;;2.99;;0.56;;-0.25;;1.11;;1.52;;3.95;;0.98;;0.80;;-0.05;
NZL;1.70;;2.18;;0.18;;-0.43;;1.27;;2.93;;2.93;;0.85;;0.68;;-0.13;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;sigma_GDP;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;sigma_deltaGDP;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;rho_GDP_GDP-1;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;rho_deltaGDP_deltaGDP-1;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;sigma_C/sigma_GDP;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;sigma_I/sigma_GDP;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;sigma_NXGDP;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;rho_C_GDP;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;rho_I_GDP;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;rho_NY/Y_GDP;;;;;;;;;;;;;;;;;;;